Date,SPYClose,SPYOpen,SPYHigh,SPYLow,dayVal,AAPLClose,AAPLOpen,AAPLHigh,AAPLLow,FClose,FOpen,FHigh,FLow,GEClose,GEOpen,GEHigh,GELow,IBMClose,IBMOpen,IBMHigh,IBMLow,VZClose,VZOpen,VZHigh,VZLow,YHOOClose,YHOO Open,YHOO High,YHOO Low,MSFT Close,MSFT Open,MSFT High,MSFT Low,XOM Close,XOM Open,XOM High,XOM Low,CVX Close,CVX Open,CVX High,CVX Low,WMT Close,WMT Open,WMT High,WMT Low,T Close,T Open,T High,T Low,PGClose,PGOpen,PGHigh,PGLow,JNJClose,JNJOpen,JNJHigh,JNJLow,WFCClose,WFCOpen,WFCHigh,WFCLow,JPMClose,JPMOpen,JPMHigh,JPMLow,PFEClose,PFEOpen,PFEHigh,PFELow,KOClose,KOOpen,KOHigh,KOLow,GOOGClose,GOOGOpen,GOOGHigh,GOOGLow,NikkeiClose,DAXClose,DAXOpen,DAXHigh,DAXLow,FTSEClose,USDIClose,FTSEOpen,FTSEHigh,FTSELow,NikOpen,NikHigh,NikLow,SPYVol.20,DateVal,SPYClose,CloseDiff %,5-STDClose,10STD,20STD,TotChange,2 Day,5 Day,10 Day,2 Day Hist,5 Day History,10 Day History
3/2/2009,-0.05689949,-0.02534876,-0.02927555,-0.05872311,0.01,-0.02125399,0.00325733,-0.00103199,0.00E+00,-0.11764706,-0.02083333,-0.04901961,0.03614458,-0.17669903,-0.05916031,-0.15239726,-0.17821782,-0.03924667,0.04234935,-0.01788028,0.01029064,-0.05956113,-0.01210191,-0.04072948,-0.0449294,-0.04913076,0.0150079,-0.02700675,-0.0111023,-0.02958094,-0.02680747,-0.0215311,-0.03135314,-0.05237345,-0.04730417,-0.04712218,-0.05359958,-0.07137907,-0.05709148,-0.05668284,-0.06882966,-0.02923977,0.02369549,-0.01220096,0.00964957,-0.05140845,-0.04614275,-0.0212766,-0.13735465,-0.03567508,-0.03628486,-0.03156768,-0.02664446,-0.05499736,-0.06495813,-0.06454043,-0.05561441,-0.14668219,-0.17367257,-0.30035336,-0.19138756,-0.09373267,0.00416419,-0.06230032,-0.02869097,-0.08452536,-0.04968153,-0.05150754,-0.08616188,-0.03856383,-0.01656726,-0.01900393,-0.02830189,-0.03204067,0.00114018,-0.00906555,-0.01544774,-0.0069271,-0.034776,-0.0231176,-0.0219763,-0.0191012,-0.0533406,0.0143243,-0.0218357,-0.0218357,-0.035871,-0.0370914,-0.0222879,-0.0202475,-0.004681964,0.003225806,-0.045055762,-0.026475455,0.02808898,0.021739298,0.021381813,0.94310051,,,,,,
3/3/2009,-0.0095737,-0.0158841,-0.03782586,-0.01323903,0.02,0.00760043,0.01298701,-0.0072314,0.00326797,-0.06666667,0.00E+00,-0.03092784,-0.03488372,-0.13679245,-0.09127789,-0.08282828,-0.15903614,-0.01754626,-0.01345411,-0.02269129,-0.02147281,-0.01266667,-0.03352676,-0.0278834,-0.01478495,-0.0063593,-0.00466926,-0.0077101,-0.01283079,0.00762066,0.00584307,-0.000815,-0.00681431,-0.01016636,-0.02064424,-0.0231367,-0.01406626,0.00273632,-0.02121573,-0.02384849,-0.00572424,-0.01656627,-0.0115735,-0.02228142,-0.02414487,-0.02746845,0.02645503,0.00350631,0.07497894,-0.00682982,0.00028098,-0.00138122,-0.01197605,-0.00783436,-0.02849389,-0.02416107,-0.01402131,-0.02319236,0.0669344,0.04292929,0.02514793,-0.00917993,-0.00118483,-0.03009654,-0.02892308,0.02982955,-0.03217158,0.00662252,0.00857143,-0.02973721,-0.02156334,-0.01402806,-0.02981969,-0.00513008,-0.00977042,-0.0205841,-0.01115469,0.0084706,-0.0052155,-0.0243562,-0.0172921,-0.0067483,-0.0313586,0.0013151,-0.0533406,-0.039999,-0.0354405,-0.00433,0.0044607,0.0022798,0.002029346,0.00483871,-0.007474307,-0.021505376,0.030512293,0.024087664,0.022884765,0.934071549,0.020592486,-0.044797691,0.095195078,,,
3/4/2009,0.03045778,-0.00673998,0.02071897,0.00771917,0.03,0.04310345,0.01816239,0.0301769,0.02388708,0.07142857,-0.0106383,-0.0106383,0.03614458,-0.08743169,-0.13169643,-0.14096916,-0.27793696,0.02399888,-0.01606805,0.01430886,0.00576734,0.05334234,0.01667779,0.04432855,0.00068213,0.0528,-0.00547303,0.04817405,0.01624695,0.02016807,0.00746888,0.01305057,0.02144082,0.02464986,-0.00508813,0.00759356,0.01332833,0.038452,0.01412567,0.03041916,0.03704631,0.02833078,-0.00946687,0.01560565,0.00386598,0.02519084,-0.00589102,-0.03144654,0.01724138,0.01948424,-0.01123596,0.0033195,0.00836941,0.04117315,-0.00558659,0.02310867,0.00142207,-0.14106145,-0.02007528,-0.05447942,-0.21645022,-0.10562075,0.00355872,-0.00936768,-0.11406844,0.08689655,0.03739612,0.06315789,0.03541076,0.03207413,-0.01928375,0.00067751,0.00285919,-0.02013505,-0.02094431,-0.01407101,-0.02163134,0.0195489,0.0542496,0.0000564,0.0361646,0.0147361,0.0380969,-0.0080293,-0.0313586,-0.0074519,0.0042318,0.0264891,0.0289892,0.0325689,0.002139902,0.006451613,0.023689991,0.007019514,0.015398877,0.022156187,0.02285732,0.962521294,-0.022980122,0.03848258,0.148094106,0.020592486,,
3/5/2009,-0.05185841,-0.02035714,-0.01977793,-0.03447018,0.04,-0.03512397,0.00419727,-0.01212121,-0.01484624,-0.06666667,-0.16129032,0.09677419,-0.11627907,-0.00898204,-0.12596401,-0.02051282,0.26190476,-0.02738793,-0.01152738,-0.01437317,-0.00811189,-0.01474359,-0.01312336,0.02059925,0.01499659,-0.04787234,0.00393082,-0.03113417,-0.00239808,-0.07001647,-0.0214168,-0.04186795,-0.05205709,-0.06305814,-0.02520548,-0.03516957,-0.04927751,-0.06736742,-0.02401537,-0.05067411,-0.06589428,0.03127327,0.06011066,0.04390244,0.05494223,-0.03276247,-0.03777778,0.0021645,-0.02850539,-0.05368184,-0.01363636,-0.03280948,-0.04979966,-0.03873239,0.01488764,-0.0204356,0.00056802,-0.2504065,-0.31113956,-0.30473752,-0.20994475,-0.18646409,-0.19148936,-0.16193853,-0.19742489,0.0215736,0.03471295,0.00618812,0.04377565,-0.06491713,-0.00351124,-0.02979012,-0.04989309,-0.04166145,-0.02065043,-0.03012268,-0.04041812,-0.0350293,-0.0502321,0.0374362,-0.007074,-0.0070985,-0.0318166,0.0036409,0.0380969,-0.0009864,0.0040716,-0.0010537,-0.0271583,-0.0230302,0.002463117,0.008064516,-0.04091954,-0.018544936,0.024997523,0.024787121,0.023442924,0.91260647,-0.049734516,0.016106188,0.145132737,-0.022980122,,
3/6/2009,0.00224006,-0.01257747,-0.02265487,-0.02040045,0.05,-0.05353319,-0.03134796,-0.05112474,-0.09472551,-0.13095238,0.1025641,-0.07843137,-0.10526316,0.11782477,0.07352941,0.02094241,0.0408805,-0.02339591,-0.00916285,-0.0257899,-0.04526227,-0.03838647,0.02526596,-0.03486239,-0.05372733,0.0415004,-0.01331245,0.00841622,0.00320513,0.00088574,-0.04292929,-0.02184874,-0.03542958,0.03520716,-0.02248454,0.00018598,-0.00526111,0.0463627,-0.01304134,0.02693438,0.00904393,-0.02021661,-0.00474496,-0.01985981,-0.02896082,0.00153965,0.01616628,-0.00359971,-0.02854877,0.00920701,-0.01670507,-0.00627138,-0.00903614,0.00845309,-0.01965126,-0.000549,-0.01135396,0.10629067,-0.02973978,0.10128913,0.04895105,-0.05687606,-0.09576023,-0.09379408,-0.09625668,0.00745342,0.03741935,0.00E+00,0.01441678,0.04579025,-0.03523608,-0.0076762,0.02475619,0.00960973,-0.02929293,-0.02786475,-0.02772826,-0.0121384,-0.0078691,-0.0426611,-0.0245977,-0.0155568,0.0002266,-0.0012742,-0.0318166,-0.0152774,-0.0097266,-0.0187165,-0.0119086,-0.0193357,0.000506704,0.009677419,0.00175775,-0.006916427,0.027943605,0.026734332,0.024592179,0.914650764,-0.012880345,0.125070003,0.189285046,-0.049734516,,
3/9/2009,-0.01508661,-0.02676758,-0.00814922,0.01234092,0.01,-0.0361991,-0.06364617,-0.01185345,0.00475624,0.05479452,-0.05813953,-0.06382979,0.07352941,0.0972973,-0.01369863,0.14615385,0.06646526,-0.03342419,-0.03881183,-0.02009702,-0.01166741,-0.06968877,-0.06031128,-0.07541191,-0.02980837,-0.02988506,0.01984127,0.02048558,0.00239617,-0.01150442,-0.01319261,0.01030928,0.02112029,0.01014656,-0.00191681,0.02584604,0.01978452,0.0002448,0.00249314,0.00548402,0.02663252,-0.03438958,-0.03790226,-0.02479142,-0.02005013,-0.066103,-0.05151515,-0.04552023,-0.01632653,-0.04502649,-0.01669596,-0.02839931,-0.0212766,-0.03827885,-0.00395257,-0.02307059,-0.02182027,0.26666667,-0.01532567,0.20234114,0.10888889,-0.00270027,-0.14713015,-0.02957198,0.00591716,-0.01233046,-0.03482587,0.02091021,0.00258398,-0.01200565,0.04821037,0.02320675,0.02342606,-0.05730381,-0.02354318,-0.01165862,-0.0162966,-0.0043819,0.0069878,-0.0060173,-0.0166643,-0.0134992,0.0033138,0.0167207,0.0002266,-0.0070748,-0.0089917,-0.0182669,-0.0193688,-0.0010258,-0.011271301,0.014516129,-0.011804115,0.002354673,0.029153689,0.027104678,0.024082899,0.900851784,0.060532686,0.133544421,0.155522437,-0.012880345,-0.044797691,
3/10/2009,0.07677761,0.02959029,0.04327186,0.0312381,0.02,0.092723,0.01152074,0.02399128,0.0295858,0.14285714,0.08641975,0.03409091,0.15068493,0.35714286,0.29166667,0.26174497,0.30311615,0.05595132,0.00597668,0.00636492,0.00926479,0.09745455,-0.02070393,0.03495545,0.01463058,0.0450237,-0.00311284,-0.00371747,0.01593625,0.11906893,0.01515152,0.07482993,0.01348921,0.05245536,0.05204532,0.02718869,0.04744526,0.08565835,0.05620492,0.05193265,0.04415066,0.02950903,-0.02353816,-0.00464434,-0.00076726,0.10699588,0.00079872,0.02346707,0.02572614,0.03050847,-0.02353292,-0.01210511,0.0136646,0.03428239,-0.00651927,0.00337363,0.01995891,0.28482972,0.4922179,0.17385257,0.44088176,0.32490975,0.18767773,0.17722534,0.20686275,0.05742821,0.04123711,0.0253012,0.02706186,0.01429593,0.00557491,-0.00687285,-0.00286123,0.05941342,-0.00579459,0.01283889,0.01656658,0.0455196,0.0528029,0.0106661,0.0544529,0.0257573,0.0487805,-0.0019192,0.0033138,0.0453041,0.0160661,0.0149608,0.0412688,0.0200206,0.003464363,0.016129032,0.059725585,0.038267875,0.023411541,0.025715877,0.022325142,0.970017031,0.085665655,0.14655824,0.277420571,0.060532686,1.914232294,
3/11/2009,0.0082543,0.06429624,0.02415121,0.04543775,0.03,0.0622986,0.07972665,0.07454739,0.0862069,0.125,0.06818182,0.12087912,0.07142857,-0.06715064,0.26451613,0.06382979,0.07826087,0.01925509,0.03477757,0.03218552,0.04560261,-0.01060305,0.08879493,0.02317881,0.06416727,0.01209373,0.03903201,0.00746269,0.02196078,0.0504,0.11062335,0.04588608,0.10470275,-0.02863203,0.03267616,0.00847009,0.00018339,-0.01262399,0.0284907,0.02299369,0.0253225,-0.02297999,0.03374778,0.00417485,0.00409521,0.02453532,0.09098164,0.04068047,0.08252427,-0.00299043,0.03294692,0.01643754,0.01194853,0.00337079,0.02824536,0.02409639,0.01841727,0.00843373,0.16166884,0.09241706,0.08623088,0.0613079,0.23942538,0.09604905,0.16165719,-0.03541913,0.04950495,0.00705053,0.01756587,0.02889359,-0.002079,0.02352941,0.0286944,0.03157417,0.03979366,0.03056431,0.03897603,-0.0241143,0.0069771,0.0404839,0.0221666,0.0401485,-0.0057601,-0.0068927,0.0487805,0.0099026,0.0385917,0.0216401,-0.0065988,0.0050825,-0.006102437,0.017741935,0.006397563,-0.004931507,0.037863573,0.030571692,0.027391324,0.978023843,0.058482615,0.105549702,0.157885484,0.085665655,0.066115922,
3/12/2009,0.04981711,-0.00657781,0.03417635,0.0024735,0.04,0.05358948,0.0464135,0.03567889,0.03597884,0.14141414,0.06382979,0.10784314,0.11111111,0.21011673,-0.08503401,0.07,0.02217742,0.02454495,0.01512393,0.01443355,0.01090343,0.0442063,-0.03365696,0.00970874,0.00271003,0.01568335,0.00300526,0.00740741,0.00537222,-0.00761615,0.03003953,-0.01210287,0.00401606,0.02510917,-0.02421778,-0.00822397,0.00678401,0.04977169,0.0139652,0.01564566,0.01863933,0.03743045,-0.01939126,0.00758132,0.00433342,0.07256894,0.01828822,0.05614783,0.02466368,0.02129574,-0.02067336,0.0047045,-0.00726612,0.03079507,-0.01387347,0.01614227,-0.00678158,0.24731183,-0.09876543,0.13882863,0.00512164,0.17971759,-0.0128783,0.15040398,0.06153846,0.1505508,0.01768868,0.11085181,0.02589396,0.04383562,0.01458333,0.0311021,0.01046025,0.01772359,0.02396753,0.01560939,0.02594602,0.0515445,0.0107611,0.0060749,-0.0058877,-0.0070329,0.0049542,-0.0007894,-0.0057601,-0.0099915,-0.0097207,-0.0026405,0.0308277,0.0142562,0.007437916,0.019354839,0.039503557,0.039658496,0.036670702,0.030839835,0.026158352,1.026746164,0.060094064,0.126981364,0.163211976,0.058482615,0.124570368,
3/13/2009,0.00978928,0.05906952,0.02032386,0.04864293,0.05,-0.00575816,0.04939516,0.00861244,0.04392237,0.07079646,0.21,0.12389381,0.15,0.00643087,0.21747212,0.03271028,0.17357002,-0.00053836,0.02496896,0.00067114,0.02521362,0.01539448,0.05358339,0.01858974,0.03445946,-0.00661765,0.01722846,0.00294118,0.0129771,-0.02762855,-0.00230238,0.0007657,-0.024,0.00088747,0.025,0.00247001,0.01183755,-0.01065681,0.04899526,0.01019744,0.02195791,0.00609459,0.02002503,0.00849515,0.02588832,-0.00541272,0.08189655,0.02153432,0.04230489,0.03436123,0.03648975,0.03453322,0.0347667,0.04454101,0.05514913,0.03957997,0.05462304,-0.00095785,0.36612702,0.0952381,0.19745223,0.02992383,0.22439661,0.05402485,0.1916996,0.05531915,0.08227115,0.06092437,0.10817308,0.01246719,0.0513347,0.01901639,0.03726708,0.00271722,0.0269301,0.00756179,0.01713594,0.0178181,-0.0006622,0.025145,0.020797,0.0354032,0.0112066,-0.004576,0.0049542,0.0242645,0.0264344,0.0450725,0.0242094,0.0451083,-0.008814684,0.020967742,0.007716948,0.001052493,0.029512336,0.033542838,0.028005067,1.03679727,0.005973115,0.057076487,0.135556646,0.060094064,-0.283849152,
